Model,Accuracy,Precision,Recall,F1,AUC
TabNet,0.986013986013986,0.9726027397260274,1.0,0.9861111111111112,0.9994131455399061
RandomForest,0.986013986013986,1.0,0.971830985915493,0.9857142857142858,0.9992175273865416
Ensemble_TabNet_MLP,0.965034965034965,0.9852941176470589,0.9436619718309859,0.9640287769784172,0.9986306729264476
SVM,0.965034965034965,0.9852941176470589,0.9436619718309859,0.9640287769784172,0.9966744913928013
LogisticRegression,0.958041958041958,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9964788732394366
MLP,0.965034965034965,0.9852941176470589,0.9436619718309859,0.9640287769784172,0.9945226917057902
XGBoost,0.972027972027972,1.0,0.9436619718309859,0.9710144927536231,0.9931533646322378
FT-Transformer,0.958041958041958,0.9850746268656716,0.9295774647887324,0.9565217391304348,0.9886541471048513
